view_mode,display_mode,pair_id,pair_label,pair_color,dataset_id,dataset_name,x_source_id,x_metric_type,x_column,x_label,y_source_id,y_metric_type,y_column,y_label,x_value,y_value,display_unit
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.44331935,-8.51,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4140353,-7.25,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4574682,-6.54,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.3767149,-8.79,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.30917156,-7.77,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.35406366,-9.41,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.45094103,-6.14,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.43378553,-8.94,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.38082278,-8.1,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4152035,-4.45,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4475588,-8.86,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.2769134,-8.97,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.29670873,-10.06,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.2788906,-11.2,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.36490846,-13.39,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.35259897,-8.99,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.51753366,-7.86,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.38680473,-9.94,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.36730772,-7,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.415378,-8.26,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.46551675,-8.19,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.33095184,-7.88,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.38796255,-10.55,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.4007204,-7.68,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.34207144,-7.07,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.35878828,-7.24,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.3791635,-10.16,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.31620416,-6.51,nm
scatter2d,overlay,rx5mf4d7,sdt3-homo: HISD16-NE2-esc478-O8 vs TOTAL,#1677ff,sdt3-homo,sdt3-homo,40xur1kj,atom_pair_distance,HISD16-NE2-esc478-O8,HISD16-NE2-esc478-O8 (nm),7rbhiikl,mmpbsa,TOTAL,TOTAL (kJ/mol),0.41398105,-11.64,nm
