view_mode,display_mode,pair_id,pair_label,pair_color,dataset_id,dataset_name,x_source_id,x_metric_type,x_column,x_label,y_source_id,y_metric_type,y_column,y_label,x_value,y_value,display_unit
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8991154,-22.42,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.882294,-19.27,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.9965434,-17.35,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.9202728,-19.87,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8942512,-9.31,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.85323286,-5.86,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8899591,-9.19,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.9099151,-14.14,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.92720836,-6.16,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.93732965,-8.41,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.9203197,-15.54,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),1.0041742,-18.72,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.92551285,-18.75,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),1.0149534,-14.6,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.94608957,-16.1,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8898684,-5.88,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8414256,-11.17,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.85894406,-8.99,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.8018191,-9.83,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.7260838,-11.11,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.7152875,-9.6,nm
scatter2d,overlay,n492zibb,sdu6-homo: HISD19-NE2-esc474-O6 vs TOTAL,#1677ff,sdu6-homo,sdu6-homo,l1vh0y4k,atom_pair_distance,HISD19-NE2-esc474-O6,HISD19-NE2-esc474-O6 (nm),sg8et2u3,mmpbsa,TOTAL,TOTAL (kJ/mol),0.7358563,-7.27,nm
